customer_id,age,income,credit_score,debt_ratio,employment_years,loan_amount,loan_term,employment_status,education_level,marital_status,housing_status,loan_purpose,default
1.0,45.0,25910.688929025804,563.0,0.14932316516690733,9.116328865602734,8620.509134224236,48.0,Employed,Bachelor,Single,Mortgage,Personal,0.0
2.0,38.0,33783.934730336616,646.0,0.17296957661999926,6.406360704678801,8865.311404498167,60.0,Employed,Master,Single,Own,Auto,1.0
3.0,47.0,24435.445449119707,651.0,0.5397535652724146,0.7031259218512929,18469.91871771277,60.0,Self-employed,High School,Single,Rent,Auto,0.0
4.0,58.0,31132.863212081713,697.0,0.20638116668271503,4.488260668343247,12758.881640257485,12.0,Employed,High School,Divorced,Rent,Personal,0.0
5.0,37.0,14089.606353871024,513.0,0.5549298642100525,5.577558921794595,7303.448300278364,48.0,Employed,Bachelor,Single,Rent,Personal,1.0
6.0,37.0,40402.496382508594,709.0,0.26469616515204925,0.18970990451174394,28171.173595246277,60.0,Employed,High School,Married,Mortgage,Auto,0.0
7.0,58.0,36337.39799402118,384.125,0.20752197434122818,9.667110653714563,15974.758554561404,36.0,Employed,Bachelor,Married,Mortgage,Personal,0.0
8.0,49.0,24135.90113014395,587.0,0.053680119741308374,11.836546012217921,10634.85088764045,24.0,Employed,Bachelor,Married,Rent,Auto,1.0
9.0,34.0,50494.658339642134,601.0,0.44520273384232933,9.500698476870848,11663.86675140975,36.0,Unemployed,High School,Married,Mortgage,Auto,0.0
10.0,46.0,58034.043185455135,713.0,0.6184913264668911,8.704328110734519,8509.562121965073,36.0,Self-employed,Master,Married,Mortgage,Personal,1.0
11.0,34.0,16256.044174720852,652.0,0.3079636847431777,6.831776332559251,8210.782957729476,36.0,Employed,Bachelor,Married,Own,Personal,1.0
12.0,34.0,24800.959246933766,509.0,0.6201983383691245,5.017856606608673,1427.7068000986703,48.0,Self-employed,Bachelor,Single,Own,Personal,0.0
13.0,42.0,24721.505828440575,551.0,0.15909065280331444,5.675764260982849,3896.8857968640255,48.0,Employed,Master,Married,Rent,Auto,0.0
14.0,18.0,22698.371242092537,669.0,0.3646050375441866,8.209683965744652,5256.697291229207,48.0,Employed,High School,Divorced,Mortgage,Auto,1.0
15.0,19.0,54980.696009785606,642.0,0.1976561346945491,5.430926004308141,11620.284014113855,24.0,Employed,Master,Divorced,Own,Auto,0.0
16.0,33.0,32961.21778210899,592.0,0.5660612912767989,1.985453532605757,2161.7064441306825,12.0,Employed,Bachelor,Married,Mortgage,Business,1.0
17.0,27.0,31816.572453167166,601.0,0.2127014778705359,2.357712881378265,5340.4548508761045,60.0,Employed,Bachelor,Divorced,Mortgage,Auto,0.0
18.0,43.0,13333.951659252278,719.0,0.3177348235421192,11.367921959119977,4820.078994963219,60.0,Employed,Master,Divorced,Own,Home,0.0
19.0,29.0,49896.643507804896,598.0,0.45414648296824117,0.08635181848382316,8896.41667865273,12.0,Employed,Bachelor,Married,Rent,Personal,0.0
20.0,23.0,19542.967901492866,641.0,0.545266438474012,6.000245581076826,11643.443221717955,60.0,Employed,High School,Married,Rent,Personal,0.0
21.0,57.0,37420.21386732737,850.0,0.6096707303826775,15.188038397569677,4833.615598831506,36.0,Self-employed,High School,Married,Rent,Personal,0.0
22.0,37.0,41718.020844488296,507.0,0.0540647978366633,6.124759506241543,5119.7028019455165,24.0,Unemployed,Bachelor,Divorced,Rent,Auto,0.0
23.0,40.0,71705.9708030716,464.0,0.45879491919932563,15.188038397569677,4702.094524562791,60.0,Employed,Master,Married,Mortgage,Personal,1.0
24.0,22.0,18874.92877198513,728.0,0.2797013575382582,5.816472589109209,5930.699515765716,24.0,Employed,High School,Married,Rent,Auto,0.0
25.0,33.0,8024.413988480515,582.0,0.3072771084580013,0.17483661022672764,7778.2254083605385,12.0,Self-employed,Bachelor,Single,Mortgage,Auto,0.0
26.0,41.0,39812.04455008661,618.0,0.32623161549080326,8.772604027310546,23204.471315016646,60.0,Self-employed,Master,Single,Rent,Personal,0.0
27.0,26.0,88422.89836352269,571.0,0.10722526643173298,1.6747763226023402,3604.7396350982594,24.0,Self-employed,High School,Single,Rent,Auto,1.0
28.0,44.0,67472.3508879268,624.0,0.3770639818680073,2.9534694649668576,28171.173595246277,36.0,Employed,Master,Single,Mortgage,Personal,0.0
29.0,32.0,40329.145810366026,809.0,0.16405303958143092,1.8705002433802456,3019.7996242475406,36.0,Employed,High School,Divorced,Rent,Auto,0.0
30.0,36.0,28401.06453813583,730.0,0.09330735258658554,1.5636601368393943,17391.097175567204,12.0,Employed,High School,Single,Rent,Home,0.0
31.0,32.0,54369.645953428044,736.0,0.42918851852003115,2.8229405544574977,5537.859007096041,48.0,Employed,High School,Married,Rent,Home,0.0
32.0,62.0,22319.742956604314,508.0,0.4391404412077546,2.380120165340294,3909.7685609138166,60.0,Employed,PhD,Single,Mortgage,Personal,0.0
33.0,39.0,46082.05472113713,534.0,0.4907174735759635,5.0165821154119286,23237.06403942856,36.0,Self-employed,Bachelor,Single,Rent,Personal,0.0
34.0,27.0,46757.7398631376,384.125,0.23375009773159186,8.387277753100967,8650.75774936291,36.0,Self-employed,High School,Single,Rent,Auto,0.0
35.0,49.0,61704.05652925726,569.0,0.5873590601705874,1.7626225103780035,8389.947507473027,12.0,Employed,Bachelor,Divorced,Mortgage,Personal,0.0
36.0,25.0,88422.89836352269,745.0,0.27353861055878254,1.2022189103299605,6492.086739677016,36.0,Employed,Bachelor,Married,Own,Business,0.0
37.0,42.0,44187.97550205665,701.0,0.5338089235523403,5.496491682780911,5088.966036141721,60.0,Employed,Bachelor,Married,Rent,Personal,0.0
38.0,18.0,28156.068487250945,627.0,0.4977652419867526,5.548164958162211,7034.087894126343,12.0,Employed,Master,Divorced,Rent,Business,0.0
39.0,24.0,35854.08705681653,647.0,0.19639232316728122,11.569809788266195,613.0707223580407,24.0,Employed,High School,Divorced,Own,Business,0.0
40.0,42.0,14994.84939655942,581.0,0.20698281621196843,0.08037093379687645,1839.128348251758,12.0,Self-employed,High School,Married,Rent,Personal,0.0
41.0,48.0,25658.84009891084,670.0,0.3092807852183382,9.58799671752663,11090.615455065834,60.0,Employed,Bachelor,Single,Own,Personal,0.0
42.0,42.0,29594.94299471706,726.0,0.6464823574417933,3.6802960900407196,20873.212063070972,60.0,Self-employed,High School,Single,Mortgage,Home,0.0
43.0,38.0,27943.944518529526,488.0,0.2201679526464557,4.855082303919095,24121.171888524215,24.0,Self-employed,Master,Single,Mortgage,Personal,1.0
44.0,36.0,39190.0213516264,679.0,0.3283080109753143,0.4790944689745216,3768.3827579260055,12.0,Self-employed,High School,Single,Own,Auto,0.0
